AnchorsRate,Order,NumSampling,K,Seed,F_MadeStyle,ACC,NMI,Purity,Fscore,Runtime
10,2,4,15,2,1,0.555864369093941,0.665060764235704,0.593107281823235,0.493769130243377,8.2699641
10,2,4,15,2,2,0.613674263479711,0.6930858424,0.649805447470817,0.54705408294359,8.2699641
10,2,4,15,4,1,0.560311284046693,0.665882149598453,0.595886603668705,0.497584990102418,8.3898245
10,2,4,15,4,2,0.58254585881045,0.684415326664667,0.61923290717065,0.518718423447453,8.3898245
10,2,4,15,6,1,0.591439688715953,0.631803092330002,0.593107281823235,0.442551620306268,8.4002554
10,2,4,15,6,2,0.591439688715953,0.651995002997263,0.595886603668705,0.482030331780399,8.4002554
10,2,4,15,8,1,0.559199555308505,0.651195922601449,0.583657587548638,0.488319684153492,4.2348109
10,2,4,15,8,2,0.58254585881045,0.669525725194109,0.615897720956087,0.507505723526735,4.2348109
10,2,4,15,10,1,0.557531962201223,0.657182075932733,0.583101723179544,0.491941950381824,3.749389
10,2,4,15,10,2,0.610339077265147,0.664854323020145,0.612562534741523,0.495449535061191,3.749389
10,2,5,5,0,1,0.579766536964981,0.66789487570696,0.594774874930517,0.470226766354654,4.4325261
10,2,5,5,0,2,0.659811006114508,0.716935932375301,0.660366870483602,0.534238141401772,4.4325261
10,2,5,5,2,1,0.58254585881045,0.650979347858824,0.604780433574208,0.433109346365302,4.676803
10,2,5,5,2,2,0.547526403557532,0.671304922480339,0.596998332406893,0.487580175741037,4.676803
10,2,5,5,4,1,0.521956642579211,0.672327944469349,0.576431350750417,0.489815374067484,4.3840502
10,2,5,5,4,2,0.604780433574208,0.687925748571267,0.607003891050584,0.494050775778838,4.3840502
10,2,5,5,6,1,0.568093385214008,0.687819426414954,0.60644802668149,0.497070548341742,4.395002
10,2,5,5,6,2,0.590327959977765,0.689913353231638,0.639799888827126,0.506972424345688,4.395002
10,2,5,5,8,1,0.536964980544747,0.654404036986277,0.572540300166759,0.444492678502009,4.058452
10,2,5,5,8,2,0.535853251806559,0.672087609351622,0.607003891050584,0.478819929839369,4.058452
10,2,5,5,10,1,0.589216231239578,0.668944823039968,0.591995553085047,0.481270541850709,4.6281755
10,2,5,5,10,2,0.594219010561423,0.683231231428615,0.633129516397999,0.504655006805169,4.6281755
10,2,5,7,0,1,0.56698165647582,0.688419807747527,0.594219010561423,0.502301998174392,4.2253482
10,2,5,7,0,2,0.605892162312396,0.684616523574602,0.642023346303502,0.506938514746264,4.2253482
10,2,5,7,2,1,0.56698165647582,0.696960144118688,0.604780433574208,0.506723321500643,4.0158537
10,2,5,7,2,2,0.601445247359644,0.690702173018193,0.63757643135075,0.510392872693171,4.0158537
10,2,5,7,4,1,0.587548638132296,0.690962013732188,0.623679822123402,0.515226114733758,4.077706
10,2,5,7,4,2,0.598665925514175,0.695177476323612,0.634797109505281,0.513032775494809,4.077706
10,2,5,7,6,1,0.56698165647582,0.702270201142176,0.604780433574208,0.521381430250429,4.1016931
10,2,5,7,6,2,0.60088938299055,0.722719390509562,0.64035575319622,0.548511147271943,4.1016931
10,2,5,7,8,1,0.565314063368538,0.695962920680704,0.603112840466926,0.516546866958423,3.8563973
10,2,5,7,8,2,0.637020566981656,0.714665355947754,0.673151750972763,0.5552294756094,3.8563973
10,2,5,7,10,1,0.601445247359644,0.680258484841909,0.603112840466926,0.489144290888489,4.0751361
10,2,5,7,10,2,0.56698165647582,0.688022886741834,0.635908838243469,0.502778414393947,4.0751361
10,2,5,10,0,1,0.563090605892162,0.686233227798208,0.591995553085047,0.509496586709231,3.9025625
10,2,5,10,0,2,0.62201222901612,0.721365512611146,0.659255141745414,0.567025259276792,3.9025625
10,2,5,10,2,1,0.566425792106726,0.691585172978856,0.605892162312396,0.512188831460906,4.1048419
10,2,5,10,2,2,0.622568093385214,0.718891211383793,0.65869927737632,0.564796376166221,4.1048419
10,2,5,10,4,1,0.556420233463035,0.661513226093451,0.591995553085047,0.469719609188273,4.049593
10,2,5,10,4,2,0.625347415230684,0.68818582395513,0.637020566981656,0.512692385252429,4.049593
10,2,5,10,6,1,0.559199555308505,0.672867860589825,0.587548638132296,0.496704460879302,3.7979169
10,2,5,10,6,2,0.618677042801556,0.684180126250063,0.630906058921623,0.506670311645708,3.7979169
10,2,5,10,8,1,0.558087826570317,0.675669571262567,0.595886603668705,0.483149126503095,4.1059815
10,2,5,10,8,2,0.560867148415787,0.678299595662655,0.599221789883268,0.494630203138943,4.1059815
10,2,5,10,10,1,0.621456364647026,0.694030492684129,0.623123957754308,0.516919321957379,3.7395209
10,2,5,10,10,2,0.565869927737632,0.671628522946782,0.60366870483602,0.491090824051137,3.7395209
10,2,5,15,0,1,0.556976097832129,0.669921444813009,0.584213451917732,0.497808530428306,4.2178599
10,2,5,15,0,2,0.581434130072262,0.713278858512723,0.652028904947193,0.563576943984177,4.2178599
10,2,5,15,2,1,0.561978877153974,0.67485254443421,0.599221789883268,0.50436856849638,3.971195
10,2,5,15,2,2,0.58532518065592,0.689123520641055,0.622568093385214,0.519632587914732,3.971195
10,2,5,15,4,1,0.554752640355753,0.667487088129081,0.590883824346859,0.495700587689452,4.0089708
10,2,5,15,4,2,0.590327959977765,0.700210678872838,0.627570872707059,0.525888681251742,4.0089708
10,2,5,15,6,1,0.590883824346859,0.656990275777884,0.592551417454141,0.480079283693849,4.0125913
10,2,5,15,6,2,0.584213451917732,0.695724139515331,0.619788771539744,0.522706477245365,4.0125913
10,2,5,15,8,1,0.557531962201223,0.681167284600265,0.585881045025014,0.504118751627627,3.9576808
10,2,5,15,8,2,0.590883824346859,0.673103178323433,0.595886603668705,0.490367299074423,3.9576808
10,2,5,15,10,1,0.560867148415787,0.676516475787189,0.587548638132296,0.50177699481724,4.1468294
10,2,5,15,10,2,0.618121178432463,0.684398787730017,0.621456364647026,0.508242688782191,4.1468294
10,3,2,5,0,1,0.562534741523068,0.661400366899754,0.598665925514175,0.490824750694785,4.3406761
10,3,2,5,0,2,0.593107281823235,0.653502075289201,0.594774874930517,0.481977564971869,4.3406761
10,3,2,5,2,1,0.566425792106726,0.670739012091359,0.598110061145081,0.50380039193729,4.7696218
