AnchorsRate,Order,NumSampling,K,Seed,Method,F_MadeStyle,ACC,NMI,Purity,Fscore,Runtime
10,2,2,5,10,2,2,0.586992773763202,0.671520993453345,0.589216231239578,0.474705234808255,1.2161965
10,2,2,5,10,3,1,0.518621456364647,0.693266263026779,0.588660366870484,0.509344237467818,1.1423163
10,2,2,5,10,3,2,0.605336297943302,0.727183135315517,0.641467481934408,0.551056021051174,1.1423163
10,2,2,5,10,4,1,0.594774874930517,0.664135378382889,0.599777654252362,0.49292475396997,1.0471617
10,2,2,5,10,4,2,0.615897720956087,0.672867889471892,0.620900500277932,0.503523999774914,1.0471617
10,2,2,7,0,1,1,0.541967759866593,0.622540975933272,0.577543079488605,0.442780748663102,1.2979113
10,2,2,7,0,1,2,0.572540300166759,0.624449615976459,0.578654808226793,0.456088330006563,1.2979113
10,2,2,7,0,2,1,0.564758198999444,0.672937185053033,0.604780433574208,0.486042816639045,1.05892
10,2,2,7,0,2,2,0.533629794330183,0.648642167182106,0.571984435797665,0.455071675269536,1.05892
10,2,2,7,0,3,1,0.563646470261256,0.690901918422021,0.60088938299055,0.510877742623643,1.2796579
10,2,2,7,0,3,2,0.560311284046693,0.693599479851516,0.604780433574208,0.513819567804356,1.2796579
10,2,2,7,0,4,1,0.559199555308505,0.65970660153481,0.594219010561423,0.496593861685528,1.1267288
10,2,2,7,0,4,2,0.593663146192329,0.653194414564678,0.594774874930517,0.486273843288471,1.1267288
10,2,2,7,2,1,1,0.50917176209005,0.645075437523695,0.580322401334075,0.459172133001583,1.162075
10,2,2,7,2,1,2,0.505280711506392,0.636406941731133,0.555308504724847,0.470324570886176,1.162075
10,2,2,7,2,2,1,0.590327959977765,0.696518478570361,0.627570872707059,0.522697795071336,1.0959668
10,2,2,7,2,2,2,0.571428571428571,0.71777134246877,0.640911617565314,0.547344409641836,1.0959668
10,2,2,7,2,3,1,0.554196775986659,0.673541562865446,0.599221789883268,0.49757615697532,1.2185903
10,2,2,7,2,3,2,0.559199555308505,0.677923068799342,0.597554196775987,0.502455020212711,1.2185903
10,2,2,7,2,4,1,0.54307948860478,0.653253884788475,0.577543079488605,0.485137848293423,1.1913849
10,2,2,7,2,4,2,0.593107281823235,0.656197175061367,0.596442468037799,0.488744334844042,1.1913849
10,2,2,7,4,1,1,0.559755419677599,0.655756904698462,0.595886603668705,0.493510828034335,1.1801567
10,2,2,7,4,1,2,0.559755419677599,0.646134376927006,0.587548638132296,0.484297503758168,1.1801567
10,2,2,7,4,2,1,0.522512506948305,0.634692813923334,0.557531962201223,0.429225798276736,1.2693688
10,2,2,7,4,2,2,0.56698165647582,0.695321180926965,0.60644802668149,0.516113803301906,1.2693688
10,2,2,7,4,3,1,0.571984435797665,0.685462624918945,0.607559755419678,0.505759002558786,1.0680742
